28625	30727	12517	27988	28525	14078	5468	23631	28770	30272	30770	66208	17950	28808	36853	27598	25233	12278	34576	18673	69632	30657	79770	34991	30810	38747	0	21371	25742	42342	37033	74195	28031	58832	39605	32464	29319	7266	41218	27970	31530
28016	32143	18275	27573	12966	32139	26639	22977	28438	30715	19353	65876	19516	28476	21526	27183	25674	13526	34244	11291	69221	15031	79438	19366	29953	37029	21371	0	26261	26189	17425	74745	28581	59381	24319	34685	9710	14785	25065	28488	31800
3356	9381	14006	2274	15051	37958	30503	5152	3130	5299	10245	40591	9188	3167	16374	1884	2140	15175	8959	15229	44016	20257	54153	23898	5541	13477	25742	26261	0	24637	30453	49232	3170	33869	18929	9173	26493	20554	27694	2939	6894
26784	32926	35341	26341	16979	53110	47610	24945	27207	29484	16448	64644	30499	27244	9825	25951	25493	32129	33012	27054	67989	11189	78206	9219	25252	25475	42342	26189	24637	0	16915	72893	26729	57529	6819	32833	20348	35101	4030	26636	28481
32600	38741	34154	32157	18348	47802	42301	30761	33023	35300	20704	70460	33347	33060	18225	31767	31309	29404	38828	24329	73805	10198	84022	8583	33485	35843	37033	17425	30453	16915	0	78621	32457	63258	18193	38562	8070	29820	14413	32365	35677
48277	49125	62459	47592	63535	86411	78956	53605	46854	46164	58729	10421	57641	46892	64858	47665	50376	63628	41256	63713	25302	68741	6700	72382	50671	57988	74195	74745	49232	72893	78621	0	47518	17148	67654	45285	75218	69181	76418	46999	51505
2130	7966	16295	1428	17371	40247	32792	7441	920	3434	12565	38801	11477	958	18694	1603	4212	17464	7169	17549	42225	22577	52363	26219	4802	12251	28031	28581	3170	26729	32457	47518	0	32050	21312	6856	28876	22922	30076	277	5449
32913	33761	47095	32229	48172	71047	63593	38241	31491	30801	43366	7876	42278	31528	49494	32301	35012	48265	25893	48350	12259	53377	21993	57019	35307	42625	58832	59381	33869	57529	63258	17148	32050	0	52651	30282	60215	54178	61415	32292	36502
21076	27218	29633	20633	14333	50374	44873	19238	21499	23776	10071	58937	24791	21536	3502	20243	19785	29393	27304	23841	62361	10232	72499	10020	19544	19767	39605	24319	18929	6819	18193	67654	21312	52651	0	26894	20031	32530	9346	20565	22542
8591	4350	20727	7468	23476	44679	37225	13130	6990	4442	18670	36567	15910	7028	24799	7605	10317	21896	4935	23654	39992	28682	50129	32323	11263	18474	32464	34685	9173	32833	38562	45285	6856	30282	26894	0	34829	27322	36030	6785	11717
28640	34781	26223	28197	13206	40087	34587	25736	29063	31340	16744	66500	27119	29100	17631	27807	27349	21474	34868	16775	69925	10174	80062	13256	29525	34703	29319	9710	26493	20348	8070	75218	28876	60215	20031	34829	0	22347	19126	28360	31803
22881	24983	10308	22244	22107	18034	12534	17887	23026	24528	24352	60464	12026	23063	30435	21854	19489	5860	28831	12256	63888	24239	74026	28574	25066	33002	7266	14785	20554	35101	29820	69181	22922	54178	32530	27322	22347	0	34722	22759	26481
29841	35982	35755	29398	18066	51987	46486	28002	30263	32540	17964	67701	32758	30301	12353	29008	28550	31005	36069	25930	71125	10066	81263	6784	28309	28532	41218	25065	27694	4030	14413	76418	30076	61415	9346	36030	19126	34722	0	29402	31378
1925	7827	16071	1205	17148	40023	32569	7217	980	3970	12473	38281	11416	1017	18601	1372	4301	17403	6649	17457	41705	22484	51843	26126	4391	11709	27970	28488	2939	26636	32365	46999	277	32292	20565	6785	28360	22759	29402	0	5237
3832	12760	19794	5210	20591	43746	36291	10940	5530	8228	15785	42787	14976	5568	20928	5426	7928	20963	11155	20769	46211	25797	56349	29438	3626	9191	31530	31800	6894	28481	35677	51505	5449	36502	22542	11717	31803	26481	31378	5237	0
